Date,Region,UnemploymentRate
2024-07,Ballarat,3.5
2024-07,Bendigo,4.7
2024-07,Geelong,4.4
2024-07,Hume,4.2
2024-07,Latrobe - Gippsland,4.7
2024-07,Melbourne - Inner,4.6
2024-07,Melbourne - Inner East,3.7
2024-07,Melbourne - Inner South,3.2
2024-07,Melbourne - North East,4.6
2024-07,Melbourne - North West,4.7
2024-07,Melbourne - Outer East,4.3
2024-07,Melbourne - South East,3.7
2024-07,Melbourne - West,5.1
2024-07,Mornington Peninsula,6.1
2024-07,North West,5.0
2024-07,Shepparton,2.0
2024-07,Warrnambool and South West,2.9
